strDrink,dateModified,idDrink,strAlcoholic,strCategory,strDrinkThumb,strGlass,strIBA,strIngredient1,strIngredient10,strIngredient11,strIngredient12,strIngredient13,strIngredient14,strIngredient15,strIngredient2,strIngredient3,strIngredient4,strIngredient5,strIngredient6,strIngredient7,strIngredient8,strIngredient9,strInstructions,strMeasure1,strMeasure10,strMeasure11,strMeasure12,strMeasure13,strMeasure14,strMeasure15,strMeasure2,strMeasure3,strMeasure4,strMeasure5,strMeasure6,strMeasure7,strMeasure8,strMeasure9,strVideo
Grape lemon pineapple Smoothie,2/20/2017 15:13,12712,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/54z5h71487603583.jpg,Highball glass,,Grapes,,,,,,,Lemon,Pineapple,,,,,,,Throw everything into a blender and liquify.,1 cup ,,,,,,,4-Jan,2-Jan, , , , , ,,
Grass Skirt,9/14/2016 23:19,11433,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/qyvprp1473891585.jpg,Old-fashioned glass,,Gin,,,,,,,Triple sec,Pineapple juice,Grenadine,Pineapple,,,,,"In a shaker half-filled with ice cubes, combine the gin, triple sec, pineapple juice, and grenadine. Shake well. Pour into an old-fashioned glass and garnish with the pineapple slice.",1 1/2 oz , ,,,,,,1 oz ,1 oz ,1/2 tsp ,1, , , , ,
Grasshopper,9/2/2017 17:26,17200,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/aqm9el1504369613.jpg,Cocktail glass,Contemporary Classics,Green Creme de Menthe,,,,,,,Creme de Cacao,Light cream,,,,,,,Pour ingredients into a cocktail shaker with ice. Shake briskly and then strain into a chilled cocktail glass.,3/4 oz ,,,,,,,3/4 oz white ,3/4 oz , , , , , ,,
Green Goblin,2/3/2016 14:58,13497,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/qxprxr1454511520.jpg,Pint glass,,Cider,,,,,,,Lager,Blue Curacao,,,,,,,"Cider First, Lager then Curacao",1/2 pint hard ,,,,,,,1/2 pint ,1 shot , , , , , ,,
Grim Reaper,9/8/2017 16:06,14642,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/kztu161504883192.jpg,Old-fashioned glass,,Kahlua,,,,,,,151 proof rum,Grenadine,,,,,,,Mix Kahlua and 151 in glass. Quickly add ice and pour grenadine over ice to give ice red tint.,1 oz ,,,,,,,1 oz Bacardi ,1 dash , , , , , ,,
Grizzly Bear,2/20/2017 14:55,12762,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/k6v97f1487602550.jpg,Collins Glass,,Amaretto,,,,,,,Jägermeister,Kahlua,Milk,,,,,,"Served over ice. Sounds nasty, but tastes great.",1 part ,,,,,,,1 part ,1 part ,2 1/2 parts , , , , , ,
H.D.,8/31/2016 19:26,16262,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/upusyu1472667977.jpg,Beer mug,,Whisky,,,,,,,Bailey's irish cream,Coffee,,,,,,,Mix the whisky and Baileys Cream in a beer-glass (at least 50 cl). Fill the rest of the glass with coffee.,4 cl ,,,,,,,8 cl ,"
","
","
","
","
","
",,
Happy Skipper,2/20/2017 14:54,12766,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/42w2g41487602448.jpg,Highball glass,,Spiced rum,,,,,,,Ginger ale,Lime,Ice,,,,,,"Pour Captain Morgan's Spiced Rum over ice, fill glass to top with Ginger Ale. Garnish with lime. Tastes like a cream soda. Named for the Gilligan's Island reference (""The Captain"" *in* ""Ginger"" is a Happy Skipper!)",1 1/2 cl ,,,,,,,"
","
","
","
","
","
","
",,
Harvey Wallbanger,9/2/2017 17:28,11462,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/vg4bva1504369725.jpg,Collins glass,Contemporary Classics,Vodka,,,,,,,Galliano,Orange juice,,,,,,,"Stir the vodka and orange juice with ice in the glass, then float the Galliano on top. Garnish and serve.",1 oz ,,,,,,,1/2 oz ,4 oz , , , , , ,,
Havana Cocktail,9/8/2017 16:01,11470,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/59splc1504882899.jpg,Cocktail glass,,Light rum,,,,,,,Pineapple juice,Lemon juice,,,,,,,"In a shaker half-filled with ice cubes, combine all of the ingredients. Shake well. Strain into a cocktail glass.",1 oz ,,,,,,,1 oz ,1 tsp , , , , , ,,
Hawaiian Cocktail,9/8/2017 16:03,11472,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ujoh9x1504882987.jpg,Cocktail glass,,Gin,,,,,,,Triple sec,Pineapple juice,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",2 oz ,,,,,,,1/2 oz ,1 tblsp , , , , , ,,
Hemingway Special,9/2/2017 17:31,17201,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/jfcvps1504369888.jpg,Cocktail glass,Contemporary Classics,Rum,,,,,,,Grapefruit Juice,Maraschino Liqueur,Lime Juice,,,,,,Pour all ingredients into a shaker with ice. Shake.,12 parts,,,,,,,8 parts,3 parts,3 parts, , , , , ,
Herbal flame,9/3/2015 3:09,15813,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/rrstxv1441246184.jpg,Mason jar,,Hot Damn,,,,,,,Tea,,,,,,,,"Pour Hot Damn 100 in bottom of a jar or regular glass. Fill the rest of the glass with sweet tea. Stir with spoon, straw, or better yet a cinnamon stick and leave it in.",5 shots ,,,,,,,very sweet , , , , , ,,,
Highland Fling Cocktail,4/23/2017 20:25,11476,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/0bkwca1492975553.jpg,Cocktail glass,,Scotch,,,,,,,Sweet Vermouth,Orange bitters,Olive,,,,,,Stir all ingredients (except olive) with ice and strain into a cocktail glass. Add the olive and serve.,1 1/2 oz ,,,,,,,3/4 oz ,2 dashes ,1, , , , , ,
Holloween Punch,9/8/2017 17:42,12954,Non alcoholic,Punch / Party Drink,http://www.thecocktaildb.com/images/media/drink/lfeoe41504888925.jpg,Punch bowl,,Grape juice,,,,,,,Carbonated soft drink,Sherbet,Sherbet,,,,,,"Take a bunch of grape juice and a bunch of fizzy stuff (club soda, ginger ale, lemonlime, whatever). Mix them in a punch bowl. Take orange sherbet and lime sherbet. Scoop out scoops and float them in the punch, let them melt a little so that a nasty film spreads all over the top of the punch but there are still ""bubbles"" in it in the form of sherbet scoops. Looks horrible, tastes just fine.","
",,,,,,,", orange
", , , , , ,,,
Homemade Kahlua,9/3/2015 5:20,17044,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/uwtsst1441254025.jpg,Collins Glass,,Sugar,,,,,,,Corn syrup,Coffee,Vanilla extract,Water,Vodka,,,,"Dissolve sugar in 2 cups of boiling water and add corn syrup. Dissolve the instant coffee in the remaining water. Pour syrup and coffee in a gallon jug. Let it cool. Add vodka and vanilla when cold. For the best result, let the mixture ""mature"" for 4-5 weeks.",2 1/2 cups , , ,,,,,1 cup ,1 1/2 oz instant ,2 oz ,3 cups boiling ,1 fifth , , , ,
Horse's Neck,9/2/2017 17:34,17202,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/006k4e1504370092.jpg,Highball glass,Contemporary Classics,Lemon peel,,,,,,,Brandy,Ginger ale,Bitters,,,,,,"Pour brandy and ginger ale directly into highball glass with ice cubes. Stir gently. Garnish with lemon zest. If desired, add dashes of Angostura Bitter.",1 long strip ,,,,,,,2 oz ,5 oz ,2 dashes , , , , , ,
Hot Chocolate to Die for,2/20/2017 15:06,12738,Non alcoholic,Cocoa,http://www.thecocktaildb.com/images/media/drink/0lrmjp1487603166.jpg,Coffee mug,,Chocolate,,,,,,,Butter,Vanilla extract,Half-and-half,Marshmallows,,,,,"Melt the chocolate, butter and vanilla in a double boiler. When just smooth stir in the cream.",12 oz fine , ,,,,,,1 tsp ,1/2 tsp ,1 cup ,mini , , , , ,
Hot Creamy Bush,8/31/2016 19:27,14782,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/spvrtp1472668037.jpg,Irish coffee cup,,Irish whiskey,,,,,,,Bailey's irish cream,Coffee,,,,,,,Combine all ingredients in glass,1 shot ,,,,,,,3/4 shot ,6 oz hot , , , , , ,,
Ice Pick #1,7/21/2016 10:02,13539,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/ypsrqp1469091726.jpg,Collins Glass,,Vodka,,,,,,,Iced tea,Lemon juice,,,,,,,Put Vodka in glass fill with iced tea. Stir in lemon to taste.,1 1/2 oz ,,,,,,,6 oz ," to taste
","
","
","
","
","
",,
Iced Coffee,2/3/2016 15:37,12770,Non alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/ytprxy1454513855.jpg,Coffee mug,,Coffee,,,,,,,Sugar,Water,Milk,,,,,,Mix together until coffee and sugar is dissolved. Add milk. Shake well. Using a blender or milk shake maker produces a very foamy drink. Serve in coffee mug.,1/4 cup instant ,,,,,,,1/4 cup ,1/4 cup hot ,4 cups cold , , , , , ,
Iced Coffee Fillip,2/3/2016 15:43,12772,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sxtxrp1454514223.jpg,Coffee mug,,Kahlua,,,,,,,Coffee,,,,,,,,Mix together in a coffee mug and chill before serving.,2 tsp ,,,,,,,Strong cold , , , , , ,,,
Imperial Cocktail,2/20/2017 15:13,12706,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/bcsj2e1487603625.jpg,Cocktail glass,,Lime juice,,,,,,,Gin,Aperol,,,,,,,Shake with ice and strain into cocktail glass.,4 cl ,,,,,,,2 cl ,4 cl , , , , , ,,
Imperial Fizz,9/8/2017 16:29,11524,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/zj1usl1504884548.jpg,Highball glass,,Light rum,,,,,,,Blended whiskey,Lemon,Powdered sugar,Carbonated water,,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1/2 oz ,"
",,,,,,1 1/2 oz ,Juice of 1/2 ,1 tsp ,"
","
","
","
","
",
Ipamena,7/21/2016 9:49,17176,Non Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yswuwp1469090992.jpg,Wine Glass,,Lime,,,,,,,Brown sugar,Passion fruit juice,Ginger ale,Ice,,,,,"Cut half a lime into pieces, place in a shaker, add the sugar and crush. Measure the passion fruit juice, add it to the shaker and fill up with ice cubes. Close the shaker and shake vigorously. Pour the liquid into a glass, top up with ginger ale, stir with a teaspoon and then garnish the rim of the glass with a slice of lime",½,,,,,,,2 tsp,4 cl,top up with,fill,,,,,
Irish Coffee,8/18/2015 15:09,13971,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/sywsqw1439906999.jpg,Irish coffee cup,Contemporary Classics,Irish whiskey,,,,,,,Coffee,Sugar,Whipped cream,,,,,,"Heat the coffee, whiskey and sugar; do not boil. Pour into glass and top with cream; serve hot.",1 1/2 oz ,,,,,,,8 oz ,1 tsp ,1 tblsp , , , , , ,
Irish Cream,9/8/2017 16:31,12820,Alcoholic,Homemade Liqueur,http://www.thecocktaildb.com/images/media/drink/90etyl1504884699.jpg,Irish coffee cup,,Scotch,,,,,,,Half-and-half,Condensed milk,Coconut syrup,Chocolate syrup,,,,,Mix scotch and milk. Add half-and-half. Add rest.,1 cup , ,,,,,,1 1/4 cup ,1 can sweetened ,3 drops ,1 tblsp , , , , ,
Irish Curdling Cow,8/24/2017 9:35,16987,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/yrhutv1503563730.jpg,Highball glass,,Bailey's irish cream,,,,,,,Bourbon,Vodka,Orange juice,,,,,,"Pour Irish Cream, Vodka, and Bourbon in a glass. Add some ice and mix in the orange juice.",3/4 oz ,,,,,,,3/4 oz ,3/4 oz ,2-3 oz , , , , , ,
Irish Russian,2/3/2016 15:18,17015,Alcoholic,Beer,http://www.thecocktaildb.com/images/media/drink/swqurw1454512730.jpg,Highball glass,,Vodka,,,,,,,Kahlua,Coca-Cola,Guinness stout,,,,,,Add the ingredients in the order listed in the recipe. Care must be taken when adding the Guinness to prevent an excess of foam. Do Not add ice.,1 shot ,,,,,,,1 shot ,1 dash ,Fill with , , , , , ,
Irish Spring,9/8/2017 16:33,11528,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sot8v41504884783.jpg,Collins glass,,Irish whiskey,,,,,,,Peach brandy,Orange juice,Sweet and sour,Orange,Cherry,,,,"Pour all ingredients (except orange slice and cherry) into a collins glass over ice cubes. Garnish with the slice of orange, add the cherry on top, and serve.",1 oz , , ,,,,,1/2 oz ,1 oz ,1 oz ,1 slice ,1, , , ,
Jack Rose Cocktail,8/18/2015 15:11,11542,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/uuqqrv1439907068.jpg,Cocktail glass,,Apple brandy,,,,,,,Grenadine,Lime,,,,,,,"Shake all ingredients with ice, strain into a cocktail glass, and serve.",1 1/2 oz ,,,,,,,1 tsp ,Juice of 1/2 , , , , , ,,
Jack's Vanilla Coke,9/7/2017 15:08,16275,Alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/kjnt7z1504793319.jpg,Old-fashioned glass,,Ice,,,,,,,Tennessee whiskey,Vanilla extract,Coca-Cola,,,,,,"After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom.",5-Apr,,,,,,,2 oz ,1 tsp ,10-12 oz , , , , , ,
Jackhammer,9/2/2017 22:48,13847,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/9von5j1504388896.jpg,Collins Glass,,Jack Daniels,,,,,,,Amaretto,,,,,,,,"Serve over ice- Warning,Deadly!",1 oz ,,,,,,,1 oz , , , , , ,,,
Jam Donut,9/16/2016 16:30,17178,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/uuytrp1474039804.jpg,Shot glass,,Baileys irish cream,,,,,,,Chambord raspberry liqueur,Sugar syrup,Sugar,,,,,,"Coat the rim of a shot glass with sugar using sugar syrup to stick. Add the Chambord raspberry liqueur to the shot glass, and carefully layer the Baileys Irish Cream on top. Serve.",2/3 oz,,,,,,,1/3 oz,1 tsp,2 pinches,,,,,,
Jamaica Kiss,9/3/2015 4:05,14095,Alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/urpvvv1441249549.jpg,Hurricane glass,,Coffee liqueur,,,,,,,Light rum,Ice,Milk,,,,,,Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.,1 shot ,,,,,,,1 shot Jamaican ," cubes
","
","
","
","
","
","
",
Jamaican Coffee,9/3/2015 3:27,15825,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xqptps1441247257.jpg,Champagne flute,,Rum,,,,,,,Coffee,Water,Whipped cream,,,,,,"Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw.",1/6 glass ,,,,,,,1/6 glass strong black ,1/2 glass cold ,"
","
","
","
","
","
",
Japanese Fizz,9/8/2017 16:33,11558,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/37vzv11504884831.jpg,Highball glass,,Blended whiskey,,,,,,,Lemon,Powdered sugar,Port,Egg white,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve.",1 1/2 oz ,"
","
",,,,,Juice of 1/2 ,1 tsp ,1 tblsp ,1,"
","
","
","
",
Jello shots,9/8/2017 16:35,14956,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/l0smzo1504884904.jpg,Shot glass,,Vodka,,,,,,,Jello,Water,,,,,,,"Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away...",2 cups ,,,,,,,3 packages ,3 cups , , , , , ,,
Jelly Bean,9/2/2017 22:46,13775,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/bglc6y1504388797.jpg,Cordial glass,,Blackberry brandy,,,,,,,Anis,,,,,,,,mix equal parts in pony glass-tastes just like a jelly bean!,1 oz ,,,,,,,1 oz , , , , , ,,,
Jewel Of The Nile,9/8/2017 16:35,11566,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/hx4nrb1504884947.jpg,Cocktail glass,,Gin,,,,,,,Green Chartreuse,Yellow Chartreuse,,,,,,,"In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass.",1 1/2 oz ,,,,,,,1/2 oz ,1/2 oz , , , , , ,,
Jitterbug,9/3/2015 2:55,16178,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/wwqvrq1441245318.jpg,Cocktail Glass,,Gin,,,,,,,Vodka,Grenadine,Lime juice,Sugar,Sugar syrup,Soda water,,,"Wet glass, dip rim in sugar. Then add Ice. Then add everything else. It's that simple!",2 jiggers , , , ,,,,1 jigger ,3 dashes ,1 shot ,Around rim put 1 pinch ,3 dashes ,Fill to top with , , ,
John Collins,9/2/2017 12:04,11580,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/u5yaxl1504350270.jpg,Collins glass,,Bourbon,,,,,,,Lemon juice,Sugar,Club soda,Maraschino cherry,Orange,,,,Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.,2 oz , , ,,,,,1 oz ,1 tsp superfine ,3 oz ,1,1, , , ,
Just a Moonmint,2/20/2017 15:20,12688,Non alcoholic,Milk / Float / Shake,http://www.thecocktaildb.com/images/media/drink/znald61487604035.jpg,Highball Glass,,Milk,,,,,,,Chocolate syrup,Mint syrup,,,,,,,"Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up.",2 cups ,,,,,,,"
","
","
","
","
","
","
",,
Kamikaze,9/2/2017 18:26,11600,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/xa58bb1504373204.jpg,Cocktail glass,New Era Drinks,Vodka,,,,,,,Triple sec,Lime juice,,,,,,,"Shake all ingredients together with ice. Strain into glass, garnish and serve.",1 oz ,,,,,,,1 oz ,1 oz , , , , , ,,
Karsk,2/20/2017 14:54,12764,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/808mxk1487602471.jpg,Highball glass,,Coffee,,,,,,,Grain alcohol,,,,,,,,"Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality.",1 part ,,,,,,,2 parts , , , , , ,,,
Kentucky B And B,11/10/2016 23:23,11602,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/sqxsxp1478820236.jpg,Brandy snifter,,Bourbon,,,,,,,Benedictine,,,,,,,,Pour the bourbon and Benedictine into a brandy snifter.,2 oz ,,,,,,,1/2 oz , , , , , ,,,
Kentucky Colonel,11/10/2016 23:25,11604,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/utqwpu1478820348.jpg,Cocktail glass,,Bourbon,,,,,,,Benedictine,Lemon peel,,,,,,,In a shaker half-filled with ice cubes combine the courbon and Benedictine. Shake and strain into a cocktail glass. Garnish with the lemon twist.,3 oz ,,,,,,,1/2 oz ,1 twist of , , , , , ,,
Kill the cold Smoothie,2/20/2017 15:10,12720,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/7j1z2e1487603414.jpg,Highball glass,,Ginger,,,,,,,Lemon,Water,,,,,,,Juice ginger and lemon and add it to hot water. You may add cardomom.,1 inch ,,,,,,,4-Jan,1 cup hot , , , , , ,,
Kioki Coffee,9/3/2015 3:29,16951,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/uppqty1441247374.jpg,Coffee mug,,Kahlua,,,,,,,Brandy,Coffee,,,,,,,Stir. Add whipped cream to the top.,1 oz ,,,,,,,1/2 oz ,"
","
","
","
","
","
",,
Kir,9/2/2017 17:38,17203,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/apneom1504370294.jpg,Wine Glass,,Creme de Cassis,,,,,,,Champagne,,,,,,,,"Add the crème de cassis to the bottom of the glass, then top up with wine.",1 part ,,,,,,,5 parts , , , , , ,,,
Kir Royale,9/2/2017 17:39,13837,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/yt9i7n1504370388.jpg,Champagne Flute,,Creme de Cassis,,,,,,,Champagne,,,,,,,,"Pour Creme de cassis in glass, gently pour champagne on top",1 part ,,,,,,,5 parts , , , , , ,,,
Kiss me Quick,9/8/2017 16:38,15026,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/m7iaxu1504885119.jpg,Highball glass,,Cranberry vodka,,,,,,,Apfelkorn,Schweppes Russchian,Apple juice,Ice,,,,,mix in the glass,4 cl ,"
",,,,,,2 cl ,7 cl ,8 cl ," cubes
","
","
","
","
",
Kiwi Lemon,11/4/2016 9:28,14752,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/tpupvr1478251697.jpg,Highball glass,,Kiwi liqueur,,,,,,,Bitter lemon,Ice,,,,,,,Mix in highball glass. Stirr. Garnish with slice of kiwi.,1 part ,,,,,,,2 parts ," cubes
","
","
","
","
","
",,
Kiwi Papaya Smoothie,2/20/2017 15:12,12714,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/jogv4w1487603571.jpg,Highball Glass,,Kiwi,,,,,,,Papaya,,,,,,,,Throw everything into a blender and liquify.,3,,,,,,,2-Jan, , , , , ,,,
Kool First Aid,8/24/2017 9:53,17006,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/hfp6sv1503564824.jpg,Shot glass,,151 proof rum,,,,,,,Kool-Aid,,,,,,,,"Add Kool Aid to a double shot glass, and top with rum. Slam and shoot.",2 oz light ,,,,,,,1/2 tsp Tropical , , , , , ,,,
Kool-Aid Shot,8/24/2017 9:56,13190,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/fegm621503564966.jpg,Old-fashioned glass,,Vodka,,,,,,,Amaretto,Sloe gin,Triple sec,Cranberry juice,,,,,Pour into a large glass with ice and stir. Add a little cranberry juice to taste.,1 shot ,"
",,,,,,1 shot ,1 shot ,1 shot ,"
","
","
","
","
",
Kool-Aid Slammer,9/6/2017 23:04,14446,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/kugu2m1504735473.jpg,Shot glass,,Kool-Aid,,,,,,,Vodka,,,,,,,,"Fill half the shot glass with the kool-aid first. Then put a paper towel over the top of the glass and slowly pour in the vodka. If you do it right, you should be able to see that the two liquids are separated, with the vodka on top. Now slam it! The last thing you'll taste is the kool-aid.",1/2 oz Grape ,,,,,,,1/2 oz , , , , , ,,,
Kurant Tea,9/3/2015 3:31,14456,Alcoholic,Coffee / Tea,http://www.thecocktaildb.com/images/media/drink/xrsrpr1441247464.jpg,Champagne flute,,Absolut Kurant,,,,,,,Tea,Sugar,,,,,,,"Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!",4 cl ,,,,,,,Turkish apple ," (if needed)
","
","
","
","
","
",,
Lady Love Fizz,9/8/2017 16:41,11634,Alcoholic,Ordinary Drink,http://www.thecocktaildb.com/images/media/drink/20d63k1504885263.jpg,Cocktail glass,,Gin,,,,,,,Light cream,Powdered sugar,Lemon,Egg white,Carbonated water,,,,"Shake all ingredients (except carbonated water) with ice and strain into a cocktail glass over two ice cubes. Fill with carbonated water, stir, and serve.",2 oz ,"
","
",,,,,2 tsp ,1 tsp ,Juice of 1/2 ,1,"
","
","
","
",
Lassi - A South Indian Drink,2/20/2017 15:19,12690,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/iq6scx1487603980.jpg,Highball Glass,,Yoghurt,,,,,,,Water,Cumin seed,Salt,Mint,,,,,"Blend in a blender for 3 seconds. Lassi is one of the easiest things to make, and there are many ways of making it. Basically, it is buttermilk (yoghurt whisked with water), and you can choose almost any consistency that you like, from the thinnest to the thickest. Serve cold.",1/2 cup plain , ,,,,,,1 1/4 cup cold ,1/2 tsp ground roasted ,1/4 tsp ,1/4 tsp dried , , , , ,
Lassi - Mango,2/20/2017 15:16,12698,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/1bw6sd1487603816.jpg,Highball glass,,Mango,,,,,,,Yoghurt,Sugar,Water,,,,,,Put it all in a blender and pour over crushed ice. You can also use other fruits like strawberries and bananas.,2,,,,,,,2 cups ,1/2 cup ,1 cup iced , , , , , ,
Lassi - Sweet,2/20/2017 15:18,12696,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/9jeifz1487603885.jpg,Highball glass,,Yoghurt,,,,,,,Water,Sugar,Salt,Lemon juice,,,,,Put all ingredients into a blender and blend until nice and frothy. Serve chilled.,1 cup , ,,,,,,2 cups cold ,4 tblsp ,pinch ,2 tblsp , , , , ,
Lassi Khara,2/20/2017 15:19,12692,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/m1suzm1487603970.jpg,Highball Glass,,Yoghurt,,,,,,,Water,Salt,Asafoetida,,,,,,Blend (frappe) in blender until frothy. Add torn curry leaves and serve cold.,1 cup ,,,,,,,2 cups cold ,1 tsp ,1 pinch , , , , , ,
Lassi Raita,2/20/2017 15:18,12694,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/s4x0qj1487603933.jpg,Highball Glass,,Yoghurt,,,,,,,Ice,Sugar,Lime,Salt,,,,,"Blend the yoghurt and ice cubes together, until the yoghurt becomes more liquid. Add sugar to taste. The lemon/lime is optional but it gives it a slightly tart taste. Dash of salt. Raita is also good for the summer. Instead of having a traditional salad you can make raita instead.",2 cups ,,,,,,,6-Apr,"
","
","
","
","
","
","
",
Lemon Drop,9/2/2017 18:28,14366,Alcoholic,Cocktail,http://www.thecocktaildb.com/images/media/drink/mtpxgk1504373297.jpg,Cocktail glass,,Absolut Vodka,,,,,,,Cointreau,Lemon,,,,,,,Shake and strain into a chilled cocktail glass rimmed with sugar.,1 1/2 shot ,,,,,,,1 1/2 shot ,Juice of 1 wedge , , , , , ,,
Lemon Shot,2/20/2017 15:02,12752,Alcoholic,Shot,http://www.thecocktaildb.com/images/media/drink/mx31hv1487602979.jpg,Shot glass,,Galliano,,,,,,,Absolut Citron,Lemon,Sugar,151 proof rum,,,,,"Mix Galliano and Absolut Citron in a shot glass, lay lemon wedge sprinkled with sugar over glass and pour a rum over wedge and glass. light rum with a lighter and let burn for a second. Do shot quickly and suck on lemon. If it is done correctly, this will taste like a shot of sweet lemonade.",1/2 oz ,,,,,,,1/2 oz ," wedge
",Bacardi , , , , , ,
Lemouroudji,2/20/2017 15:15,12702,Non alcoholic,Other/Unknown,http://www.thecocktaildb.com/images/media/drink/eirmo71487603745.jpg,Highball Glass,,Ginger,,,,,,,Water,Lemon,Sugar,Cayenne pepper,,,,,"Juice the lemons. Peel and grate the ginger. Place the grated ginger and a liberal dash of the cayenne pepper into a piece of cheesecloth, and tie it into a knot. Let soak in the water. After 15 minutes or so, add the sugar, and the lemon juice. Chill, and serve.",2 pieces , ,,,,,,1 gal ,1 lb ,1 cup ,ground , , , , ,
